"X","Y","Species","DBH_cm","ba_m2","grp_id","grp_size","grp_nm","tree_id","weight"
76.9,163.6,"PSME",2.032,0.000324292786622399,"e0001",20,"16-25 trees",3645,3.1094095334738
32.4,164,"PIEN",10.668,0.00893831993127986,"c0032",5,"5-9 trees",3654,44.15021382169
68.9,164.1,"PIEN",4.318,0.00146438461459177,"e0001",20,"16-25 trees",3655,10.3860933282474
124.3,165.2,"PIEN",1.778,0.000248286664757774,"b0133",2,"2-4 trees",3670,2.51125497780401
42.3,166.2,"PIEN",2.286,0.000410433058068973,"c0077",6,"5-9 trees",3682,3.75423938681759
93.3,166.3,"POTR",10.16,0.00810731966555996,"b0083",4,"2-4 trees",3683,40.8347529747354
125.5,166.4,"PSME",30.48,0.0729658769900397,"b0133",2,"2-4 trees",3686,236.823033779947
104.1,166.6,"PIPO",3.302,0.000856335639674771,"b0166",4,"2-4 trees",3689,6.76150401542223
90.1,166.8,"PSME",24.892,0.0486641862925237,"b0083",4,"2-4 trees",3691,171.275667090396
45.6,167.5,"PIEN",6.096,0.00291863507960159,"c0077",6,"5-9 trees",3699,18.0331640413536
168.6,167.7,"POTR",20.32,0.0324292786622399,"a0180",1,"single",3704,123.787823146332
61.3,168.1,"PSME",36.576,0.105070862865657,"d0016",14,"10-15 trees",3713,317.039908469824
93,168.9,"POTR",10.922,0.00936902128851274,"b0083",4,"2-4 trees",3728,45.8441025684311
58,169,"POTR",15.748,0.0194778354965078,"d0016",14,"10-15 trees",3729,82.3304804480007
58.6,169,"PIEN",4.826,0.00182921399954197,"d0016",14,"10-15 trees",3730,12.4090835343443
101,169.3,"PIEN",36.322,0.103616612400647,"b0166",4,"2-4 trees",3737,313.524588518766
65.3,169.4,"PIEN",5.842,0.00268048256442576,"d0016",14,"10-15 trees",3740,16.8460654712927
94.6,169.5,"PIEN",3.302,0.000856335639674771,"b0083",4,"2-4 trees",3742,6.76150401542223
60.1,170.8,"PIPU",27.178,0.0580129392818725,"d0016",14,"10-15 trees",3758,197.127852560154
61,170.9,"PIEN",12.192,0.0116745403184063,"d0016",14,"10-15 trees",3761,54.6663309681585
105.4,171,"PIPU",4.318,0.00146438461459177,"b0166",4,"2-4 trees",3766,10.3860933282474
104,171.2,"POTR",7.112,0.00397258663612438,"b0166",4,"2-4 trees",3770,23.0773956958527
43.6,172,"PIEN",33.02,0.0856335639674771,"c0077",6,"5-9 trees",3783,269.180323226586
63.3,172.2,"PIPO",2.794,0.000613116049707972,"d0016",14,"10-15 trees",3784,5.17561833654136
60.5,172.4,"PSME",39.624,0.123312332113167,"d0016",14,"10-15 trees",3786,360.357283138818
60,172.5,"POTR",12.7,0.0126676869774374,"d0016",14,"10-15 trees",3791,58.3560588423466
65.5,172.5,"POTR",9.906,0.00770702075707294,"d0016",14,"10-15 trees",3792,39.2136544780448
66,173.2,"PIPU",16.51,0.0214083909918693,"d0016",14,"10-15 trees",3802,88.7963914804711
84.5,173.5,"PIEN",15.24,0.0182414692475099,"d0018",12,"10-15 trees",3809,78.1224666314692
137.9,173.5,"POTR",20.32,0.0324292786622399,"b0155",4,"2-4 trees",3811,123.787823146332
42.1,174.1,"PIPO",4.572,0.00164173223227589,"c0077",6,"5-9 trees",3825,11.3807256664905
57.4,174.1,"PSME",21.082,0.0349070782350266,"d0016",14,"10-15 trees",3826,131.298236918595
